hgnc	ensg	confidence	phenotype	panel	disease_group	moi
ST14	ENSG00000149418	2	ICHTHYOSIS AUTOSOMAL RECESSIVE WITH HYPOTRICHOSIS 610765	DDG2P		BIALLELIC, autosomal or pseudoautosomal
DHX30	ENSG00000132153	2	Neurodevelopmental Disorder	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LAMB1	ENSG00000091136	2	COBBLESTONE BRAIN MALFORMATION WITHOUT MUSCULAR OR OCULAR ABNORMALITIES 615191	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SLC25A4	ENSG00000151729	2	Severe Early-Onset Mitochondrial Disease and Loss of Mitochondrial DNA Copy Number	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CHRNA2	ENSG00000120903	2	CHRNA2-RELATED NOCTURNAL FRONTAL LOBE EPILEPSY, AUTOSOMAL DOMINANT 291607	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CLN6	ENSG00000128973	3	CEROID LIPOFUSCINOSIS, NEURONAL, KUFS TYPE, ADULT ONSET 204300	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SET	ENSG00000119335	2	SET syndrome	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HPD	ENSG00000158104	2	TYROSINEMIA TYPE 3 276710	DDG2P		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
C21orf59	ENSG00000159079	2	PRIMARY CILIARY DYSKINESIA	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TTC25	ENSG00000204815	2	Primary Ciliary Dyskinesia with Left-Right Body Asymmetry Randomization	DDG2P		BIALLELIC, autosomal or pseudoautosomal
RPS23	ENSG00000186468	2	Microcephaly, hearing loss, and dysmorphic features	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
COL2A1	ENSG00000139219	3	ACHONDROGENESIS TYPE 2 200610	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TBX18	ENSG00000112837	2	CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT 2 143400	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KIAA1109	ENSG00000138688	2	Brain atrophy, Dandy Walker and Contractures	DDG2P		BIALLELIC, autosomal or pseudoautosomal
QARS	ENSG00000172053	2	MICROCEPHALY, PROGRESSIVE, SEIZURES, AND CEREBRAL AND CEREBELLAR ATROPHY 615760	DDG2P		BIALLELIC, autosomal or pseudoautosomal
RAD51C	ENSG00000108384	2	FANCONI ANEMIA, COMPLEMENTATION GROUP 0 613390	DDG2P		BIALLELIC, autosomal or pseudoautosomal
MYH8	ENSG00000133020	3	DISTAL ARTHROGRYPOSIS TYPE 158300	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MYPN	ENSG00000138347	2	Childhood-Onset, Slowly Progressive Nemaline Myopathy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
INPP5K	ENSG00000132376	2	Muscular dystrophy, congenital, with cataracts and intellectual disability	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CCDC22	ENSG00000101997	2	SYNDROMIC X-LINKED INTELLECTUAL DISABILITY	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
NHP2	ENSG00000145912	2	DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2 613987	DDG2P		BIALLELIC, autosomal or pseudoautosomal
NDUFB8	ENSG00000166136	2	MITOCHONDRIAL COMPLEX I DEFICIENCY, 252010	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GPAA1	ENSG00000197858	2	Developmental Delay, Epilepsy, Cerebellar Atrophy, and Osteopenia	DDG2P		BIALLELIC, autosomal or pseudoautosomal
BMP2	ENSG00000125845	2	Short stature, palatal anomalies, congenital heart disease, and skeletal malformations	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ZSWIM6	ENSG00000130449	2	ACROMELIC FRONTONASAL DYSOSTOSIS 603671	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LRIT3	ENSG00000183423	2	AUTOSOMAL-RECESSIVE COMPLETE CONGENITAL STATIONARY NIGHT BLINDNESS 615058	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TRPV3	ENSG00000167723	2	OLMSTED SYNDROME 614594	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CFL2	ENSG00000165410	2	NEMALINE MYOPATHY 7 610687	DDG2P		BIALLELIC, autosomal or pseudoautosomal
MRPS34	ENSG00000074071	2	Leigh Syndrome with Instability of the Small Mitoribosomal Subunit	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CAMK2A	ENSG00000070808	2	INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AR	ENSG00000169083	3	ANDROGEN INSENSITIVITY SYNDROME 300068	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
MEOX1	ENSG00000005102	2	KLIPPEL-FEIL ANOMALY 118100	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CLTC	ENSG00000141367	2	Overgrowth intellectual disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CENPF	ENSG00000117724	2	Stromme syndrome	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SLC1A2	ENSG00000110436	2	EPILEPTIC ENCEPHALOPATHY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MYF5	ENSG00000111049	2	External Ophthalmoplegia Rib and Vertebral Anomalies	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SUFU	ENSG00000107882	2	Joubert Syndrome with Cranio-facial and Skeletal Defects	DDG2P		BIALLELIC, autosomal or pseudoautosomal
LGI4	ENSG00000153902	2	ARTHROGRYPOSIS MULTIPLEX CONGENITA	DDG2P		BIALLELIC, autosomal or pseudoautosomal
MRPS2	ENSG00000122140	2	Sensorineural Hearing Loss Hypoglycemia and Multiple OXPHOS Complex Deficiencies	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SYNE1	ENSG00000131018	3	EMERY-DREIFUSS MUSCULAR DYSTROPHY 4, AUTOSOMAL RECESSIVE 612998	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CACNB4	ENSG00000182389	2	JUVENILE MYOCLONIC EPILEPSY 611136	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SMARCC2	ENSG00000139613	2	Syndromic Intellectual Disability and Developmental Delay	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TTI2	ENSG00000129696	2	AUTOSOMAL RECESSIVE MENTAL RETARDATION	DDG2P		BIALLELIC, autosomal or pseudoautosomal
BOLA3	ENSG00000163170	2	MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 2 614299	DDG2P		BIALLELIC, autosomal or pseudoautosomal
UBTF	ENSG00000108312	2	Childhood-Onset Neurodegeneration	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ABCD1	ENSG00000101986	3	ADRENOLEUKODYSTROPHY, X-LINKED 300100	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
ITCH	ENSG00000078747	2	AUTOIMMUNE DISEASE, SYNDROMIC MULTISYSTEM 613385	DDG2P		BIALLELIC, autosomal or pseudoautosomal
KLHL7	ENSG00000122550	2	Cold-induced sweating syndrome type 1 (CISS1-like Phenotype Associated with Early-Onset Retinitis Pigmentosa	DDG2P		BIALLELIC, autosomal or pseudoautosomal
KCNC3	ENSG00000131398	2	SPINOCEREBELLAR ATAXIA TYPE 13 605259	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MAFB	ENSG00000204103	3	MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME 166300	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PIEZO1	ENSG00000103335	2	Congenital lymphatic dysplasia with hydrops and/or lymphoedema	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CCDC8	ENSG00000169515	2	THREE M SYNDROME 3 614205	DDG2P		BIALLELIC, autosomal or pseudoautosomal
OTUD6B	ENSG00000155100	2	Intellectual Disability Syndrome Associated with Seizures and Dysmorphic Features	DDG2P		BIALLELIC, autosomal or pseudoautosomal
RBPJ	ENSG00000168214	2	ADAMS OLIVER SYNDROME	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
USP27X	ENSG00000273820	2	INTELLECTUAL DISABILITY	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
STIL	ENSG00000123473	2	MICROCEPHALY PRIMARY TYPE 7 612703	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TRPV6	ENSG00000165125	2	Transient Neonatal Hyperparathyroidism	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TRAIP	ENSG00000183763	2	PRIMORDIAL DWARFISM 615272	DDG2P		BIALLELIC, autosomal or pseudoautosomal
IRF2BPL	ENSG00000119669	2	Neurological Phenotypes	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NDUFAF2	ENSG00000164182	2	LEIGH SYNDROME 256000	DDG2P		BIALLELIC, autosomal or pseudoautosomal
NFIA	ENSG00000162599	2	Macrocephaly with intellectual disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GABRG2	ENSG00000113327	2	EPILEPSY, GENERALIZED, WITH FEBRILE SEIZURES PLUS, TYPE 3 611277	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TRIP4	ENSG00000103671	2	Prenatal Spinal Muscular Atrophy and Congenital Bone Fractures	DDG2P		BIALLELIC, autosomal or pseudoautosomal
MAT1A	ENSG00000151224	2	METHIONINE ADENOSYLTRANSFERASE DEFICIENCY 250850	DDG2P		BIALLELIC, autosomal or pseudoautosomal
KCNK4	ENSG00000182450	2	FHEIG (facial dysmorphism, hypertrichosis, epilepsy, intellectual disability/developmental delay, and gingival overgrowth)	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PTPN14	ENSG00000152104	2	CHOANAL ATRESIA AND LYMPHEDEMA 613611	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SPTLC2	ENSG00000100596	3	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IC 613640	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CUX2	ENSG00000111249	2	Developmental epileptic encephalopathy	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RFT1	ENSG00000163933	2	CONGENITAL DISORDER OF GLYCOSYLATION TYPE 1N 612015	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ANKRD26	ENSG00000107890	2	THROMBOCYTOPENIA 2 188000	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SNAP29	ENSG00000099940	2	CEDNIK SYNDROME 609528	DDG2P		BIALLELIC, autosomal or pseudoautosomal
MOGS	ENSG00000115275	2	CONGENITAL DISORDERS OF GLYCOSYLATION 612379	DDG2P		BIALLELIC, autosomal or pseudoautosomal
KMT2C	ENSG00000055609	2	INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AFG3L2	ENSG00000141385	2	SPINOCEREBELLAR ATAXIA 28 610246	DDG2P		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
DOCK7	ENSG00000116641	2	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 23 615859	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CHRNA1	ENSG00000138435	2	MULTIPLE PTERYGIUM SYNDROME LETHAL TYPE 253290	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GNS	ENSG00000135677	3	MUCOPOLYSACCHARIDOSIS TYPE 3D 252940	DDG2P		BIALLELIC, autosomal or pseudoautosomal
BRCA2	ENSG00000139618	3	FANCONI ANEMIA COMPLEMENTATION GROUP D TYPE 1 605724	DDG2P		BIALLELIC, autosomal or pseudoautosomal
PHACTR1	ENSG00000112137	2	PHACTR1-associated neurodevelopment disorder	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CRELD1	ENSG00000163703	2	HETEROTAXY SYNDROME 207574	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MTOR	ENSG00000198793	3	EPILEPTIC ENCEPHALOPATHY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HESX1	ENSG00000163666	2	SEPTOOPTIC DYSPLASIA 256657	DDG2P		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
MAOA	ENSG00000189221	2	BRUNNER SYNDROME 300615	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
C1QBP	ENSG00000108561	2	Severe Neonatal-, Childhood-, or Later-Onset Cardiomyopathy Associated with Combined Respiratory-Chain Deficiencies	DDG2P		BIALLELIC, autosomal or pseudoautosomal
DDX59	ENSG00000118197	2	OROFACIODIGITAL SYNDROME	DDG2P		BIALLELIC, autosomal or pseudoautosomal
PLCB4	ENSG00000101333	2	AURICULOCONDYLAR SYNDROME 602483	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC24A4	ENSG00000140090	2	AMELOGENESIS IMPERFECTA.	DDG2P		BIALLELIC, autosomal or pseudoautosomal
COL13A1	ENSG00000197467	2	Congenital Myasthenic Syndrome Type 19	DDG2P		BIALLELIC, autosomal or pseudoautosomal
NAA15	ENSG00000164134	2	CONGENITAL HEART DISEASE and NEURODEVELOPMENTAL DISORDER	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CACNA1A	ENSG00000141837	2	EPILEPTIC ENCEPHALOPATHY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MAMLD1	ENSG00000013619	2	X-LINKED HYPOSPADIAS TYPE 2 300758	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
CAMTA1	ENSG00000171735	2	CEREBELLAR ATAXIA, NONPROGRESSIVE, WITH MENTAL RETARDATION 614756	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCNH1	ENSG00000143473	2	TEMPLE BARRAISTER SYNDROME 611816	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
OSGEP	ENSG00000092094	2	Nephrotic syndrome with primary microcephaly	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CYB5R3	ENSG00000100243	2	METHEMOGLOBINEMIA DUE TO DEFICIENCY OF METHEMOGLOBIN REDUCTASE 319395	DDG2P		BIALLELIC, autosomal or pseudoautosomal
KRIT1	ENSG00000001631	3	CEREBRAL CAVERNOUS MALFORMATIONS TYPE 1 116860	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MACF1	ENSG00000127603	2	Defects in Neuronal Migration and Axon Guidance	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TACR3	ENSG00000169836	2	HYPOGONADOTROPIC HYPOGONADISM 146110	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ATP6V1B2	ENSG00000147416	2	ZIMMERMANN-LABAND SYNDROME	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TACO1	ENSG00000136463	2	LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX IV DEFICIENCY 256000	DDG2P		BIALLELIC, autosomal or pseudoautosomal
EEF1A2	ENSG00000101210	2	INFANTILE EPILEPTIC ENCEPHALOPATHY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NEK8	ENSG00000160602	2	RENAL-HEPATIC-PANCREATIC DYSPLASIA 2 615415	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SETD1A	ENSG00000099381	2	INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GNB5	ENSG00000069966	2	Sinus Bradycardia and Cognitive Disability	DDG2P		BIALLELIC, autosomal or pseudoautosomal
POLR1A	ENSG00000068654	2	ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CRYGC	ENSG00000163254	3	CATARACT AUTOSOMAL DOMINANT 604219	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PUS7	ENSG00000091127	2	Intellectual Disability with Speech Delay Microcephaly Short Stature and Aggressive Behavior	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SRP54	ENSG00000100883	2	Syndromic neutropenia with Shwachman-Diamond-like features	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AIFM1	ENSG00000156709	2	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6 300816	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
ALG2	ENSG00000119523	2	ALG2-CDG 237149	DDG2P		BIALLELIC, autosomal or pseudoautosomal
USP9X	ENSG00000124486	2	MENTAL RETARDATION, X-LINKED 99 300919	DDG2P		X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
MED17	ENSG00000042429	2	MICROCEPHALY, POSTNATAL PROGRESSIVE, WITH SEIZURES AND BRAIN ATROPHY 613668	DDG2P		BIALLELIC, autosomal or pseudoautosomal
DLG4	ENSG00000132535	2	DLG4 related intellectual disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NBEA	ENSG00000172915	2	NBEA Neurodevelopment disorder with seizures	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TELO2	ENSG00000100726	2	TELO2 Syndromic Intellectual Disability Disorder	DDG2P		BIALLELIC, autosomal or pseudoautosomal
AGXT	ENSG00000172482	3	HYPEROXALURIA, PRIMARY, TYPE 1 259900	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ASXL2	ENSG00000143970	2	Developmental delay, macrocephaly, and dysmorphic features	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FANCL	ENSG00000115392	2	FANCL-RELATED FANCONI ANEMIA 234480	DDG2P		BIALLELIC, autosomal or pseudoautosomal
IFIH1	ENSG00000115267	3	AICARDI-GOUTIERES SYNDROME 7 615846	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NRXN1	ENSG00000179915	2	PITT HOPKINS 2	DDG2P		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TMEM199	ENSG00000244045	2	Disorder of Golgi homeostasis	DDG2P		BIALLELIC, autosomal or pseudoautosomal
EYA1	ENSG00000104313	3	BRANCHIOOTORENAL SYNDROME TYPE 1 113650	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RET	ENSG00000165731	3	RENAL AGENESIS 191830	DDG2P		BOTH monoallelic and biallelic, autosomal or pseudoautosomal
AP3B2	ENSG00000103723	2	Epileptic Encephalopathy with Optic Atrophy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
DHPS	ENSG00000095059	2	Neurodevelopmental Disorder of Hypusination	DDG2P		BIALLELIC, autosomal or pseudoautosomal
PRR12	ENSG00000126464	2	Intellectual disability and iris abnormalities	DDG2P		
CSTA	ENSG00000121552	2	EXFOLIATIVE ICHTHYOSIS, AUTOSOMAL RECESSIVE, ICHTHYOSIS BULLOSA OF SIEMENS-LIKE 607936	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SHROOM3	ENSG00000138771	2	NEURAL TUBE DEFECT	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MAPK8IP3	ENSG00000138834	2	Intellectual Disability with Variable Brain Anomalies	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SPECC1L	ENSG00000100014	2	FACIAL CLEFTING, OBLIQUE, 1 600251	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RSPO2	ENSG00000147655	2	Tetra-amelia with lung agenesis	DDG2P		BIALLELIC, autosomal or pseudoautosomal
EIF2S3	ENSG00000130741	2	Syndromic ID with severe microcephaly	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
RNF13	ENSG00000082996	2	Congenital Microcephaly Epileptic Encephalopathy Blindness and Failure to Thrive	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PET100	ENSG00000229833	2	MITOCHONDRIAL COMPLEX IV DEFICIENCY 220110	DDG2P		BIALLELIC, autosomal or pseudoautosomal
ERBB3	ENSG00000065361	2	Hirschprung disease with intestinal pseudo-obstruction	DDG2P		BIALLELIC, autosomal or pseudoautosomal
FBXO11	ENSG00000138081	3	FBXO11 related intellectual disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KPTN	ENSG00000118162	2	MACROCEPHALY, NEURODEVELOPMENTAL DELAY, AND SEIZURES	DDG2P		BIALLELIC, autosomal or pseudoautosomal
MDH2	ENSG00000146701	2	Early-Onset Severe Encephalopathy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
FAM161A	ENSG00000170264	3	RETINITIS PIGMENTOSA 28 606068	DDG2P		BIALLELIC, autosomal or pseudoautosomal
EXOSC9	ENSG00000123737	2	Cerebellar Atrophy with Spinal Motor Neuronopathy	DDG2P		
XYLT2	ENSG00000015532	2	SPONDYLOOCULAR SYNDROME 605822	DDG2P		BIALLELIC, autosomal or pseudoautosomal
GMNN	ENSG00000112312	2	Autosomal-Dominant Primordial Dwarfism Associated with Meier-Gorlin Syndrome	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ASPH	ENSG00000198363	2	FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS	DDG2P		BIALLELIC, autosomal or pseudoautosomal
PTH	ENSG00000152266	2	FAMILIAL ISOLATED HYPOPARATHYROIDISM 146200	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CACNA1E	ENSG00000198216	3	Epileptic Encephalopathy with Contractures, Macrocephaly, and Dyskinesia	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CD151	ENSG00000177697	2	NEPHROPATHY WITH PRETIBIAL EPIDERMOLYSIS BULLOSA AND DEAFNESS 609057	DDG2P		BIALLELIC, autosomal or pseudoautosomal
RBM10	ENSG00000182872	2	TARP SYNDROME 311900	DDG2P		X-LINKED: hemizygous mutation in males, biallelic mutations in females
PXDN	ENSG00000130508	2	CONGENITAL CATARACT, CORNEAL OPACITY, AND DEVELOPMENTAL GLAUCOMA	DDG2P		BIALLELIC, autosomal or pseudoautosomal
PLPBP	ENSG00000147471	2	Vitamin-B6-Dependent Epilepsy	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TERC	ENSG00000270141	2	Dyskeratosis congenita, autosomal dominant 1	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
UBE3B	ENSG00000151148	3	BLEPHAROPHIMOSIS-MENTAL RETARDATION 615057	DDG2P		BIALLELIC, autosomal or pseudoautosomal
MED13L	ENSG00000123066	2	INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PLCB1	ENSG00000182621	2	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 12 613722	DDG2P		BIALLELIC, autosomal or pseudoautosomal
CHMP1A	ENSG00000131165	2	PONTOCEREBELLAR HYPOPLASIA AND MICROCEPHALY 614961	DDG2P		BIALLELIC, autosomal or pseudoautosomal
LRAT	ENSG00000121207	2	LEBER CONGENITAL AMAUROSIS 608553	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TRIO	ENSG00000038382	2	INTELLECTUAL DISABILITY	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SNRPE	ENSG00000182004	2	AUTOSOMAL-DOMINANT HYPOTRICHOSIS SIMPLEX 615059	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
VRK1	ENSG00000100749	2	PONTOCEREBELLAR HYPOPLASIA TYPE 1 607596	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TMEM94	ENSG00000177728	2	Neurodevelopmental Delay Congenital Heart Defects and Distinct Facial Dysmorphism	DDG2P		BIALLELIC, autosomal or pseudoautosomal
MAGEL2	ENSG00000254585	3	Schaaf-Yang syndrome	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, maternally imprinted (paternal allele expressed)
DARS2	ENSG00000117593	3	LEUKOENCEPHALOPATHY WITH BRAINSTEM AND SPINAL CORD INVOLVEMENT AND LACTATE ELEVATION 611105	DDG2P		BIALLELIC, autosomal or pseudoautosomal
TRRAP	ENSG00000196367	2	Autism and Syndromic Intellectual Disability	DDG2P		MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FH	ENSG00000091483	3	FUMARASE DEFICIENCY 606812	DDG2P		BIALLELIC, autosomal or pseudoautosomal
SNORD118	ENSG00000200463	3	Leukoencephalopathy with cerebral calcification & cysts 614561	DDG2P		BIALLELIC, autosomal or pseudoautosomal
AARS	ENSG00000090861	2	EARLY-ONSET EPILEPTIC ENCEPHALOPATHY WITH PERSISTENT MYELINATION DEFECT.	DDG2P		BIALLELIC, autosomal or pseudoautosomal
